test_name,dataset_size,row_count,distinct_count,duration_ms,run_number
exact_count,10000,10000,1001,3.902000,1
exact_count,10000,10000,1001,3.695000,2
exact_count,10000,10000,1001,3.446000,3
exact_count,10000,10000,1001,3.584000,4
exact_count,10000,10000,1001,3.653000,5
exact_count,100000,100000,10001,45.702000,1
exact_count,100000,100000,10001,49.982000,2
exact_count,100000,100000,10001,49.948000,3
exact_count,100000,100000,10001,57.406000,4
exact_count,100000,100000,10001,46.723000,5
exact_count,1000000,1000000,99999,772.282000,1
exact_count,1000000,1000000,99999,779.533000,2
exact_count,1000000,1000000,99999,781.234000,3
exact_count,1000000,1000000,99999,768.569000,4
exact_count,1000000,1000000,99999,767.706000,5
exact_count,10000000,10000000,999958,34811.249000,1
exact_count,10000000,10000000,999958,35119.727000,2
exact_count,10000000,10000000,999958,35308.146000,3
exact_count,10000000,10000000,999958,34756.192000,4
exact_count,10000000,10000000,999958,34732.697000,5
